shock,var,h,med,p10,p90
fiscal_expansion,gg_debt_pct_gdp,10,1.6405646503360378,-0.5867536094190343,5.273510362740159
fiscal_expansion,gg_debt_pct_gdp,11,1.494743808552922,-0.8656209757377892,5.117407907649332
fiscal_expansion,gg_debt_pct_gdp,12,1.3590195407807133,-1.117926719775157,5.100888817435118
fiscal_expansion,gg_debt_pct_gdp,13,1.2530975179510522,-1.5269550127374232,5.013677396849027
fiscal_expansion,gg_debt_pct_gdp,14,1.151590193893064,-1.7748649551570166,4.831953175751611
fiscal_expansion,gg_debt_pct_gdp,15,1.0143461548219077,-2.02699549878175,4.745686418595115
fiscal_expansion,gg_debt_pct_gdp,16,0.941738093220696,-2.345284660020971,4.7149394404051765
fiscal_expansion,gg_debt_pct_gdp,17,0.8602268263596617,-2.6011780379694613,4.567036296208068
fiscal_expansion,gg_debt_pct_gdp,18,0.8054237982934572,-2.9031383410944476,4.588792464939572
fiscal_expansion,gg_debt_pct_gdp,19,0.7062600225178481,-3.075336543332535,4.495067706977671
fiscal_expansion,gg_debt_pct_gdp,20,0.6328012589499384,-3.1953247933225732,4.46882324015894
fiscal_expansion,level,0,0.6352822470545909,0.12821526540582093,2.1895924686868837
fiscal_expansion,level,1,0.6608054324532934,0.11755047551270048,2.226052489408553
fiscal_expansion,level,2,0.6879285885169333,0.10689759075680752,2.1957850264914947
fiscal_expansion,level,3,0.7255461864160087,0.1017185698012352,2.214544336639489
fiscal_expansion,level,4,0.7282502841477163,0.11072323959022648,2.2953003783266532
fiscal_expansion,level,5,0.7343057658377442,0.11421114383680644,2.2805795576678993
fiscal_expansion,level,6,0.727753431200585,0.11189008578735508,2.3976771124677057
fiscal_expansion,level,7,0.7215459330731429,0.10467644709013081,2.348368457656298
fiscal_expansion,level,8,0.7417311335418422,0.07711293906759299,2.3632465101937137
fiscal_expansion,level,9,0.7208382891912009,0.05193623978305715,2.3431739812584165
fiscal_expansion,level,10,0.690396838600136,0.03266729889784853,2.2438032861885064
fiscal_expansion,level,11,0.641370729072049,0.01210366790760481,2.1988230227017884
fiscal_expansion,level,12,0.6112144132753781,-0.01058921317935037,2.1056057516815847
fiscal_expansion,level,13,0.569884920838277,-0.03772348159509557,2.0653189631791817
fiscal_expansion,level,14,0.5427382344752026,-0.07117515770178325,2.0032891427556856
fiscal_expansion,level,15,0.5067517442008503,-0.09946924351371997,1.9280075445636808
fiscal_expansion,level,16,0.4649828960406491,-0.1366989181487098,1.8926895427362231
fiscal_expansion,level,17,0.42192983144436985,-0.16399650576714378,1.813245266755804
fiscal_expansion,level,18,0.38383550368919306,-0.1847460192025906,1.773503212879076
fiscal_expansion,level,19,0.3478636816593168,-0.20767106158301007,1.706448209941935
fiscal_expansion,level,20,0.3021174593150465,-0.229134284148553,1.651515505872982
fiscal_expansion,slope_10y_1y,0,-0.24560945525837422,-1.5973016671861666,1.25908593528019
fiscal_expansion,slope_10y_1y,1,-0.17628247431554803,-1.3915964407569268,1.2738181425302795
fiscal_expansion,slope_10y_1y,2,-0.11005243779990741,-1.1864752357872261,1.1592787674741003
fiscal_expansion,slope_10y_1y,3,-0.07185685469640099,-1.0360882602437038,0.9747331248309488
fiscal_expansion,slope_10y_1y,4,-0.04155235887037148,-0.9019273641714756,0.8338354998065535
fiscal_expansion,slope_10y_1y,5,-0.019872036143715917,-0.7814612670848383,0.7827137015714637
fiscal_expansion,slope_10y_1y,6,-0.0019280614737807694,-0.690262369836054,0.7143648183984864
fiscal_expansion,slope_10y_1y,7,0.009454594260360093,-0.6210389138219924,0.6669445516859546
fiscal_expansion,slope_10y_1y,8,0.029760145250489804,-0.5586958159959711,0.6177306563999022
fiscal_expansion,slope_10y_1y,9,0.028525053934967695,-0.5611894669356869,0.5806525649743893
fiscal_expansion,slope_10y_1y,10,0.031608911606037585,-0.5119482233952721,0.5404503412466711
fiscal_expansion,slope_10y_1y,11,0.03461715545551415,-0.49605561521311264,0.5116716331954049
fiscal_expansion,slope_10y_1y,12,0.033269315121073416,-0.4821378504314646,0.504526368835884
fiscal_expansion,slope_10y_1y,13,0.028477869328886296,-0.46842723119292606,0.5075853833907835
fiscal_expansion,slope_10y_1y,14,0.027184686786841307,-0.4388217988926908,0.5000973094769064
fiscal_expansion,slope_10y_1y,15,0.02287665179224611,-0.4318348035374061,0.4717839109461227
fiscal_expansion,slope_10y_1y,16,0.013564059873623366,-0.41706486730207626,0.4462318000812254
fiscal_expansion,slope_10y_1y,17,0.012201956499218332,-0.4245622919569776,0.4392912705712012
fiscal_expansion,slope_10y_1y,18,0.0038210647239620447,-0.40962888731383446,0.42030675902723863
fiscal_expansion,slope_10y_1y,19,-0.0014716217183233199,-0.39851273598983267,0.41450041944129434
fiscal_expansion,slope_10y_1y,20,0.0014723630250375805,-0.39108763538829594,0.4162485391421167
fiscal_expansion,curvature_ns_like,0,0.2527367830877545,-0.44442091779086096,1.6857537463154821
fiscal_expansion,curvature_ns_like,1,0.16571615528933142,-0.3607583203062654,1.200224543217365
fiscal_expansion,curvature_ns_like,2,0.09825341225152606,-0.29749276458421203,0.8445443146308881
fiscal_expansion,curvature_ns_like,3,0.049786751207094075,-0.25256731506604974,0.590018214636608
fiscal_expansion,curvature_ns_like,4,0.01589819164861602,-0.24169786254475506,0.39342645210261407
fiscal_expansion,curvature_ns_like,5,-0.012192829215510393,-0.24727637808178451,0.270351039550387
fiscal_expansion,curvature_ns_like,6,-0.02829234923401409,-0.25529847821761187,0.20569137847942054
fiscal_expansion,curvature_ns_like,7,-0.04613820047920944,-0.27382188250677286,0.1472629318157372
fiscal_expansion,curvature_ns_like,8,-0.057141220595238996,-0.2862582252008363,0.11733342098912017
fiscal_expansion,curvature_ns_like,9,-0.0640144925524184,-0.29876463376262086,0.09704132732026045
fiscal_expansion,curvature_ns_like,10,-0.07209400941356373,-0.2999092206672466,0.07221377622172367
fiscal_expansion,curvature_ns_like,11,-0.0783605103327669,-0.2994445359256155,0.0493495639070932
fiscal_expansion,curvature_ns_like,12,-0.08501519227259925,-0.2980883012677038,0.03856963819232911
fiscal_expansion,curvature_ns_like,13,-0.08769574069989518,-0.30054069553644747,0.02848645160959863
fiscal_expansion,curvature_ns_like,14,-0.08887418399739079,-0.2920160082244299,0.019858437975441515
fiscal_expansion,curvature_ns_like,15,-0.08861068898546347,-0.3000990570020446,0.017580964984258797
fiscal_expansion,curvature_ns_like,16,-0.08920242543248949,-0.29969214061554417,0.017322811362958736
fiscal_expansion,curvature_ns_like,17,-0.08586516226196558,-0.2935146229326285,0.01582136368197659
fiscal_expansion,curvature_ns_like,18,-0.08442611860478172,-0.2819936922984404,0.015922065503995303
fiscal_expansion,curvature_ns_like,19,-0.08214052738831566,-0.27200694178720136,0.01580666762126699
fiscal_expansion,curvature_ns_like,20,-0.07905736644291295,-0.27308574200653857,0.017954894898179686
monetary_tightening,infl_q_ann,0,-3.134864468429574,-28.729421801487025,8.284692849004593
monetary_tightening,infl_q_ann,1,-1.4307796566758841,-6.509045282869466,-0.3009310034616945
monetary_tightening,infl_q_ann,2,-2.109584414316547,-11.31671704640123,-0.3497327866031196
monetary_tightening,infl_q_ann,3,-1.2770814296862945,-6.024987588371116,-0.35674116374875153
monetary_tightening,infl_q_ann,4,-1.3511405225047393,-6.296531170597182,-0.3322981275029517
monetary_tightening,infl_q_ann,5,-0.887027117130981,-4.232567331749389,-0.10005769039345914
monetary_tightening,infl_q_ann,6,-0.8243856699924136,-3.8724395944619547,-0.03061307025710539
monetary_tightening,infl_q_ann,7,-0.5957383369477295,-3.031865364223344,0.15566831633651218
monetary_tightening,infl_q_ann,8,-0.5050207642272271,-2.490644707324837,0.2835707371533514
monetary_tightening,infl_q_ann,9,-0.4062439470222022,-2.2367935125977847,0.5087280785305756
monetary_tightening,infl_q_ann,10,-0.32111616986553626,-1.9520805331638567,0.5766616918259138
monetary_tightening,infl_q_ann,11,-0.2611141537560423,-1.6488982457750518,0.6723945053112083
monetary_tightening,infl_q_ann,12,-0.20933457843517034,-1.4849892668503817,0.7740994744845663
monetary_tightening,infl_q_ann,13,-0.16088992581816006,-1.3261160624005257,0.8453260651757089
monetary_tightening,infl_q_ann,14,-0.12541503259644426,-1.148343915874836,0.8958961426193073
monetary_tightening,infl_q_ann,15,-0.10152049389599335,-1.0210485766457695,0.9117841157782504
monetary_tightening,infl_q_ann,16,-0.06568000160709295,-0.939115807064505,1.0146899989654896
monetary_tightening,infl_q_ann,17,-0.04389125348577065,-0.8191795664199083,0.9748262464572498
monetary_tightening,infl_q_ann,18,-0.025623395512326966,-0.7479560346734667,0.9845090156794175
monetary_tightening,infl_q_ann,19,-0.013493848702019431,-0.7130905183845522,1.0761357192718766
monetary_tightening,infl_q_ann,20,-0.0061480260028226735,-0.6765682538750939,1.0999706895500918
monetary_tightening,gdp_q_ann,0,-2.467732319619291,-24.580549170648236,11.692782723372536
monetary_tightening,gdp_q_ann,1,-2.1342359873223815,-10.092330393354638,-0.35723624797534675
monetary_tightening,gdp_q_ann,2,-1.6723968109316296,-7.143469213815732,-0.376604887425069
monetary_tightening,gdp_q_ann,3,-1.2903567145915642,-5.995133234565076,-0.3738101340365408
monetary_tightening,gdp_q_ann,4,-0.9441566538738094,-4.74227707318619,-0.20852983682190152
monetary_tightening,gdp_q_ann,5,-0.7920125279436763,-3.7442405452675076,-0.08887399763323364
monetary_tightening,gdp_q_ann,6,-0.6396092843887182,-3.303649601496089,0.020123452346000315
monetary_tightening,gdp_q_ann,7,-0.5226220170727889,-3.0012553055129203,0.18510956101595316
monetary_tightening,gdp_q_ann,8,-0.43487745609063,-2.4579846779080237,0.34670979786163925
monetary_tightening,gdp_q_ann,9,-0.376249608063867,-2.0693378874386026,0.5089259165902208
monetary_tightening,gdp_q_ann,10,-0.3183238388423433,-1.6815341578085172,0.6164352636100943
monetary_tightening,gdp_q_ann,11,-0.25496097607042856,-1.4678552830197038,0.7466140784448743
monetary_tightening,gdp_q_ann,12,-0.20060103984513689,-1.3084394898932121,0.8514624291034272
monetary_tightening,gdp_q_ann,13,-0.15673243243429258,-1.1380979532884528,0.9580582665653946
monetary_tightening,gdp_q_ann,14,-0.11387344670372998,-1.0531413812906252,1.0431760733467423
monetary_tightening,gdp_q_ann,15,-0.07279490039672515,-0.9605129634082151,1.0744000147017359
monetary_tightening,gdp_q_ann,16,-0.05093174737543596,-0.8937537826433067,1.1296009428147322
monetary_tightening,gdp_q_ann,17,-0.02790350953728388,-0.8516349518212527,1.1621474072709128
monetary_tightening,gdp_q_ann,18,-0.010296566156868012,-0.7822584897201196,1.1525435178317778
monetary_tightening,gdp_q_ann,19,0.0018374953981205727,-0.7274655698749126,1.1477535948358466
monetary_tightening,gdp_q_ann,20,0.013322424026593976,-0.7050750120719989,1.2259197963088504
monetary_tightening,policy_rate,0,1.4825999999848243,1.4825999999361885,1.482599999991953
monetary_tightening,policy_rate,1,1.083378330966923,-0.18956907370795006,1.6709737883314941
monetary_tightening,policy_rate,2,0.5219327883391004,-2.0900486539745375,1.3385114733651724
monetary_tightening,policy_rate,3,0.11256739003781882,-3.4922589826628374,1.161488480844506
monetary_tightening,policy_rate,4,-0.15226764038839816,-4.580505759101815,0.9912110907043443
monetary_tightening,policy_rate,5,-0.3282081904070673,-5.087351488881354,0.8759013066743052
monetary_tightening,policy_rate,6,-0.482012617709482,-5.535227402775821,0.7863677192678942
monetary_tightening,policy_rate,7,-0.5787641909180918,-5.788756755337685,0.6917415943275826
monetary_tightening,policy_rate,8,-0.6138939232503549,-5.774165438742459,0.6318213860311607
monetary_tightening,policy_rate,9,-0.6278589361337559,-5.78996458849155,0.5815417101700836
monetary_tightening,policy_rate,10,-0.6480582697433306,-5.781739059836153,0.5630371779864726
monetary_tightening,policy_rate,11,-0.640553534618272,-5.836859037254993,0.544812271672499
monetary_tightening,policy_rate,12,-0.6075857533649689,-5.806275488572287,0.5187488405525597
monetary_tightening,policy_rate,13,-0.5805646506475617,-5.506110988003474,0.5168788150750504
monetary_tightening,policy_rate,14,-0.5231874169926785,-5.5152490618187,0.5145191870368188
monetary_tightening,policy_rate,15,-0.4937901527606956,-5.021691545518301,0.4934859228220619
monetary_tightening,policy_rate,16,-0.4514013479274287,-4.6317827386830706,0.5371326603658796
monetary_tightening,policy_rate,17,-0.4109044733804282,-4.293071704495767,0.5487011658887179
monetary_tightening,policy_rate,18,-0.37382096716170743,-3.8135362360530554,0.5873807948380271
monetary_tightening,policy_rate,19,-0.3590371267935809,-3.6191878948197083,0.5832341875291933
monetary_tightening,policy_rate,20,-0.33753607084618886,-3.4421239856264503,0.571894863623746
monetary_tightening,gg_deficit_pct_gdp,0,1.2988083380465603,-0.9348103426975253,7.600087368026751
