key,freq,ref_area,adjustment,icp_item,sts_institution,icp_suffix,time_period,obs_value,obs_status,obs_conf,obs_pre_break,obs_com,time_format,breaks,collection,compiling_org,data_comp,diss_org,dom_ser_ids,publ_ecb,publ_mu,publ_public,unit_index_base,compilation,coverage,decimals,source_agency,title,title_compl,unit,unit_mult
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-02,78.76,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-03,79.21,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-04,79.56,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-05,79.71,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-06,79.67,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-07,79.59,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-08,79.64,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-09,79.84,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-10,80.03,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-11,79.97,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2002-12,80.36,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-01,80.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-02,80.62,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-03,81.08,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-04,81.21,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-05,81.15,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-06,81.25,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-07,81.13,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-08,81.25,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-09,81.54,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-10,81.66,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-11,81.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2003-12,81.95,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-01,81.75,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-02,81.94,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
ICP.M.U2.N.000000.4.INX,M,U2,N,0,4,INX,2004-03,82.46,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (Member States and Institutions of the Euro Area) changing composition -  HICP - Overall index, Index, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",IX,0
