date,hicp_index_q,infl_q_ann,gdp_q_ann,policy_rate,gg_deficit_pct_gdp,gg_debt_pct_gdp,yc_spot_1y,yc_spot_5y,yc_spot_10y,level,slope_10y_1y,curvature_ns_like,gdp_q_ann_original
2014-12-31,99.90666666666668,0.4673755727117146,1.551955499520984,0.05,-2.528,92.93,-0.0741555007214875,0.1971465055044781,0.8924050068367995,0.33846533720659666,0.9665605075582869,-0.4239564951063558,1.551955499520984
2015-03-31,99.03,-3.5254329179157025,2.941587028122012,0.05,-2.416,93.626,-0.1910735179924526,-0.0339780811632583,0.4085004629259283,0.06114962125673914,0.5995739809183809,-0.2853831072599923,2.941587028122012
2015-06-30,100.62,6.371284211984494,1.6905535769692563,0.05,-2.328,92.903,-0.2563808952749823,0.0882822309335208,0.6300991095872169,0.1540001484152518,0.8864800048621992,-0.197153752445193,1.6905535769692563
2015-09-30,100.18333333333334,-1.7396816984444416,1.7107020466240337,0.05,-2.083,92.161,-0.2814721243561144,0.1036196562185032,0.8021937929905347,0.2081137749509745,1.0836659173466492,-0.31348235619741394,1.7107020466240337
2015-12-31,100.16333333333334,-0.0798615735382456,2.0295807028642545,0.05,-2.009,91.021,-0.340597780322864,-0.0277338494717328,0.6707176344868149,0.10079533489740604,1.0113154148096788,-0.3855875531074165,2.0295807028642545
2016-03-31,99.08333333333331,-4.336375992173702,1.861957952584616,0.0,-1.855,91.999,-0.4628205584051385,-0.2212058850898631,0.4224047367423391,-0.08720723558422085,0.8852252951474776,-0.40199594851692677,1.861957952584616
2016-06-30,100.51,5.718391253546732,0.7616453788121089,0.0,-1.679,91.879,-0.542110204946351,-0.3644063557035373,0.1694743636734275,-0.24568073232548693,0.7115845686197785,-0.3561768701341511,0.7616453788121089
2016-09-30,100.44666666666669,-0.2521273326462547,1.9500510877867083,0.0,-1.688,90.773,-0.6504693915061651,-0.5397622324666261,-0.0983392518922545,-0.4295236252883486,0.5521301396139107,-0.33071582153483264,1.9500510877867083
2016-12-31,100.89666666666666,1.7879936398317968,3.032636028512816,0.0,-1.473,89.921,-0.762100666744095,-0.4129643831727677,0.2069080623010436,-0.3227189958719397,0.9690087290451387,-0.27073616190248395,3.032636028512816
2017-03-31,100.80333333333331,-0.3701867724141437,3.201177123740365,0.0,-1.325,90.119,-0.7953792936740324,-0.3841663323637948,0.3973606744534246,-0.2607283171948009,1.1927399681274569,-0.3703140455069819,3.201177123740365
2017-06-30,102.04333333333334,4.890454317793394,2.6315094235315155,0.0,-1.322,90.008,-0.7409000453152006,-0.3530754188146917,0.3783070480352823,-0.23855613869820327,1.119207093350483,-0.34355784034946507,2.6315094235315155
