date,infl_q_ann,gdp_q_ann,policy_rate,gg_deficit_pct_gdp,gg_debt_pct_gdp,yc_spot_1y,yc_spot_5y,yc_spot_10y,level,slope_10y_1y,curvature_ns_like
2017-09-30,-0.4314219364831886,2.91997650153232,0.0,-1.143,89.108,-0.724456099260458,-0.2615461488680943,0.4932816951300783,-0.16424018433282464,1.2177377943905363,-0.29191789360580894
2017-12-31,1.527491779052304,3.2460671742487115,0.0,-1.003,87.48,-0.7822414624914381,-0.2913024294376525,0.4464118749851442,-0.2090440056479821,1.2286533374765822,-0.24677527136901106
2018-03-31,-0.939304433462434,0.1659297476450032,0.0,-0.804,87.476,-0.6718393120769638,-0.019243418698321,0.6698871331841512,-0.007065199197044551,1.341726445261115,-0.03653465850382942
2018-06-30,6.64490776103672,2.057034756212878,0.0,-0.465,87.013,-0.6776723703319517,-0.115576042089677,0.5516361967897473,-0.08053740521062713,1.229308567121699,-0.10511591063714959
2018-09-30,1.1544759962246298,0.3037402314663941,0.0,-0.348,86.835,-0.6653850299202058,-0.1983522512203968,0.4158599294690247,-0.14929245055719262,1.0812449593892306,-0.14717940198961255
2018-12-31,0.7038762994333407,2.160777978539788,0.0,-0.447,85.54,-0.7039966995708068,-0.1680159523637419,0.4339236532532498,-0.14602966622709965,1.1379203528240565,-0.06595885840992677
2019-03-31,-2.835844743523336,2.8550428844264486,0.0,-0.491,86.013,-0.5956010811279476,-0.3325034821826981,0.1781419732011984,-0.24998753003648244,0.773743054329146,-0.24754785643864696
2019-06-30,6.552184435494186,1.4523534539205436,0.0,-0.583,85.789,-0.62165374021382,-0.4944233318758843,-0.0573122977632571,-0.39112978995098713,0.564341442450563,-0.30988062577469144
2019-09-30,-0.6212264128817125,0.7576765742704711,0.0,-0.697,85.333,-0.7715982914566095,-0.7675231968181766,-0.466735653519313,-0.6686190472646997,0.3048626379372965,-0.29671244866043067
2019-12-31,0.8998308691521959,-0.4232670974199675,0.0,-0.537,83.592,-0.6702383127938005,-0.5931620027374239,-0.3076502738200146,-0.5236835297837464,0.36258803897378594,-0.20843541886103273
2020-03-31,-2.425288765787645,-13.228139020682828,0.0,-1.134,85.663,-0.6779279697819203,-0.6207828196462892,-0.3628481218254653,-0.5538529704178916,0.315079847956455,-0.20078954768519292
2020-06-30,3.0324803058026872,-15.0,0.0,-3.836,94.087,-0.6174826982521057,-0.6242038774855234,-0.3644292762441857,-0.535371950660605,0.25305342200791997,-0.2664957804747555
2020-09-30,-1.633921937530833,15.0,0.0,-5.195,96.246,-0.6372423091255274,-0.6793195221526288,-0.4460231716586227,-0.5875283343122596,0.19121913746690467,-0.27537356352110753
2020-12-31,-0.0761590457033189,1.4453611828380426,0.0,-6.992,96.517,-0.7270324244760122,-0.757375751168919,-0.5516051181166446,-0.6786710979205252,0.17542730635936765,-0.23611395974518112
2021-03-31,2.8965011386472974,3.142680113487911,0.0,-8.014,98.798,-0.6817923451480228,-0.6689315394799106,-0.4000978303998937,-0.5836072383426091,0.28169451474812907,-0.25597290341190465
2021-06-30,6.090948614230234,8.591786497758633,0.0,-6.704,96.851,-0.6869436935186485,-0.5692018243046645,-0.1898333220931452,-0.48199294663881936,0.4971103714255033,-0.2616266329975353
2021-09-30,2.240347477726216,6.962570113471091,0.0,-6.033,95.936,-0.7270800543433031,-0.6768628733777469,-0.3656064421654828,-0.5898497899621776,0.3614736121778203,-0.26103925024670777
2021-12-31,6.865178076329372,3.2211092421117944,0.0,-5.101,93.816,-0.7711943532035069,-0.5411333753601082,-0.2252755895623563,-0.5125344393753238,0.5459187636411507,-0.08579680795435315
2022-03-31,8.665465352778098,2.92298034144662,0.0,-4.044,93.431,-0.6440142765325547,-0.1044591987415694,0.1841407501114145,-0.18811090838756986,0.8281550266439692,0.2509551289380014
2022-06-30,13.1848629528964,3.727749236852182,0.0,-3.023,92.241,-0.0914750592828484,0.9246153094168976,1.169556362145514,0.6675655374265211,1.2610314214283624,0.7711493159711296
